aiohttp,3.6.2,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Async http client/server framework (asyncio),https://github.com/aio-libs/aiohttp
alabaster,0.7.12,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,A configurable sidebar-enabled Sphinx theme,https://alabaster.readthedocs.io
alembic,1.4.2,MIT,Approved,http://opensource.org/licenses/mit-license,A database migration tool for SQLAlchemy.,https://alembic.sqlalchemy.org
amqp,2.6.1,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Low-level AMQP client for Python (fork of amqplib).,http://github.com/celery/py-amqp
apipkg,1.5,MIT,Approved,http://opensource.org/licenses/mit-license,apipkg: namespace control and lazy-import mechanism,https://github.com/pytest-dev/apipkg
argon2-cffi,20.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
arrow-cpp,0.14.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
async-timeout,3.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Timeout context manager for asyncio programs,https://github.com/aio-libs/async_timeout/
atomicwrites,1.4.0,MIT,Approved,http://opensource.org/licenses/mit-license,Atomic file writes.,https://github.com/untitaker/python-atomicwrites
attrs,19.1.0,MIT,Approved,http://opensource.org/licenses/mit-license,Classes Without Boilerplate,https://www.attrs.org/
babel,2.8.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Internationalization utilities,http://babel.pocoo.org/
backcall,0.2.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
bcrypt,3.2.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Modern password hashing for your software and your servers,https://github.com/pyca/bcrypt/
beautifulsoup4,4.9.1,MIT,Approved,http://opensource.org/licenses/mit-license,Screen-scraping library,http://www.crummy.com/software/BeautifulSoup/bs4/
billiard,3.6.3.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Python multiprocessing fork with improvements and bugfixes,https://github.com/celery/billiard
blas,2.11,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
bleach,3.1.5,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
boost-cpp,1.70.0,BSL-1.0,Not approved,"","",""
boto,2.49.0,MIT,Approved,http://opensource.org/licenses/mit-license,Amazon Web Services Library,https://github.com/boto/boto/
boto3,1.14.47,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,The AWS SDK for Python,https://github.com/boto/boto3
botocore,1.17.47,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"Low-level, data-driven core of boto 3.",https://github.com/boto/botocore
brotli,1.0.7,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
bzip2,1.0.8,bzip2,Not approved,"","",""
ca-certificates,2020.6.24,MPL 2.0,Not approved,"","",""
cachetools,4.1.1,MIT,Approved,http://opensource.org/licenses/mit-license,Extensible memoizing collections and decorators,https://github.com/tkem/cachetools/
cairocffi,1.1.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,cffi-based cairo bindings for Python,https://github.com/Kozea/cairocffi
cairosvg,2.4.2,GNU Lesser General Public License v3 or later (LGPLv3+),Not approved,"",A Simple SVG Converter based on Cairo,http://www.cairosvg.org/
c-ares,1.15.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
celery,4.3.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Distributed Task Queue.,http://celeryproject.org
certifi,2020.6.20,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",""
cffi,1.14.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
chardet,3.0.4,LGPL,Approved,http://www.gnu.org/licenses/lgpl.txt,Universal encoding detector for Python 2 and 3,https://github.com/chardet/chardet
click,7.1.2,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,Composable command line interface toolkit,https://palletsprojects.com/p/click/
clipboard,0.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,"A cross platform clipboard operation library of Python. Works for Windows, Mac and Linux.",https://github.com/terryyin/clipboard
colorama,0.4.3,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Cross-platform colored terminal text.,https://github.com/tartley/colorama
commonmark,0.9.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,Python parser for the CommonMark Markdown spec,https://github.com/rtfd/commonmark.py
coverage,5.2.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Code coverage measurement for Python,https://github.com/nedbat/coveragepy
cryptography,3.0,"Apache 2.0,BSD",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29",cryptography is a package which provides cryptographic recipes and primitives to Python developers.,https://github.com/pyca/cryptography
cssselect2,0.3.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,CSS selectors for Python ElementTree,https://cssselect2.readthedocs.io/
cvxpy,1.1.4,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
cvxpy-base,1.1.4,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
cycler,0.10.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Composable style cycles,http://github.com/matplotlib/cycler
dataclasses-json,0.5.2,MIT,Approved,http://opensource.org/licenses/mit-license,Easily serialize dataclasses to and from JSON,https://github.com/lidatong/dataclasses-json
decorator,4.4.2,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
defusedxml,0.6.0,PSF 2.0,Not approved,"","",""
dill,0.3.2,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
docker,4.3.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,A Python library for the Docker Engine API.,https://github.com/docker/docker-py
docutils,0.16,"BSD,GNU General Public License (GPL),Public Domain,Python Software Foundation License",Approved,"http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,,,http://hg.python.org/cpython/raw-file/89ce323357db/LICENSE",Docutils -- Python Documentation Utilities,http://docutils.sourceforge.net/
double-conversion,3.1.5,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
ecos,2.0.7.post1,GPL-3.0,Not approved,"","",""
editdistance,0.5.3,MIT,Approved,http://opensource.org/licenses/mit-license,Fast implementation of the edit distance(Levenshtein distance),https://www.github.com/aflc/editdistance
entrypoints,0.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
execnet,1.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,execnet: rapid multi-Python deployment,https://execnet.readthedocs.io/en/latest/
fastavro,0.24.2,MIT,Approved,http://opensource.org/licenses/mit-license,Fast read/write of AVRO files,https://github.com/fastavro/fastavro
findspark,1.3.0,unknown,Not approved,"",Find pyspark to make it importable.,https://github.com/minrk/findspark
flask,1.0.4,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,A simple framework for building complex web applications.,https://palletsprojects.com/p/flask/
future,0.18.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
gflags,2.2.2,BSD 3-Clause,Approved,"","",""
gitdb,4.0.5,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Git Object Database,https://github.com/gitpython-developers/gitdb
gitpython,3.1.7,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Python Git Library,https://github.com/gitpython-developers/GitPython
glog,0.4.0,BSD 3-Clause,Approved,"","",""
gnupg,2.3.1,GNU General Public License v3 or later (GPLv3+),Not approved,"",A Python wrapper for GnuPG,https://github.com/isislovecruft/python-gnupg
google-api-core,1.22.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Google API client core library,https://github.com/googleapis/python-api-core
googleapis-common-protos,1.52.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Common protobufs used in Google APIs,https://github.com/googleapis/python-api-common-protos
google-auth,1.20.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Google Authentication Library,https://github.com/googleapis/google-auth-library-python
google-auth-oauthlib,0.4.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Google Authentication Library,https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib
google-cloud-bigquery,1.27.2,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Google BigQuery API client library,https://github.com/googleapis/python-bigquery
google-cloud-core,1.4.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Google Cloud API client core library,https://github.com/googleapis/python-cloud-core
google-cloud-storage,1.30.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Google Cloud Storage API client library,https://github.com/googleapis/python-storage
google-crc32c,0.1.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,A python wrapper of the C library 'Google CRC32C',https://github.com/googleapis/python-crc32c
google-resumable-media,0.7.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Utilities for Google Media Downloads and Resumable Uploads,https://github.com/googleapis/google-resumable-media-python
grpc-cpp,1.25.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
gunicorn,20.0.4,MIT,Approved,http://opensource.org/licenses/mit-license,WSGI HTTP Server for UNIX,http://gunicorn.org
html5lib,1.1,MIT,Approved,http://opensource.org/licenses/mit-license,HTML parser based on the WHATWG HTML specification,https://github.com/html5lib/html5lib-python
hvac,0.10.5,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,HashiCorp Vault API client,https://github.com/hvac/hvac
icu,67.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
idna,2.10,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Internationalized Domain Names in Applications (IDNA),https://github.com/kjd/idna
imagesize,1.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,Getting image size from png/jpeg/jpeg2000/gif file,https://github.com/shibukawa/imagesize_py
importlib_metadata,1.7.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
importlib-metadata,1.7.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
ipykernel,5.3.4,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
ipython,7.17.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
ipython_genutils,0.2.0,BSD 3-Clause,Approved,"","",""
ipywidgets,7.5.1,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,IPython HTML widgets for Jupyter,http://ipython.org
itsdangerous,1.1.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Various helpers to pass data to untrusted environments and back.,https://palletsprojects.com/p/itsdangerous/
jedi,0.17.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
jinja2,2.8,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,A small but fast and easy to use stand-alone template engine written in pure python.,http://jinja.pocoo.org/
jmespath,0.10.0,MIT,Approved,http://opensource.org/licenses/mit-license,JSON Matching Expressions,https://github.com/jmespath/jmespath.py
joblib,0.16.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Lightweight pipelining: using Python functions as pipeline jobs.,https://joblib.readthedocs.io
jsonschema,3.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
jupyter_client,6.1.6,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
jupyter_core,4.6.3,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
jupyterhub,0.8.1,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,JupyterHub: A multi-user server for Jupyter notebooks,http://jupyter.org
jupyterlab,0.35.5,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
jupyterlab_server,0.2.0,BSD 3-Clause,Approved,"","",""
kerberos,1.3.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,Kerberos high-level interface,https://github.com/apple/ccs-pykerberos
kiwisolver,1.2.0,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,A fast implementation of the Cassowary constraint solver,https://github.com/nucleic/kiwi
kombu,4.6.11,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Messaging library for Python.,https://kombu.readthedocs.io
krb5,1.18.2,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
libblas,3.8.0,BSD 3-clause,Approved,"","",""
libcblas,3.8.0,BSD 3-clause,Approved,"","",""
libedit,3.1.20191231,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",""
libevent,2.1.10,BSD 3-Clause,Approved,"","",""
libffi,3.2.1,Custom,Not approved,"","",""
_libgcc_mutex,0.1,unknown,Not approved,"","",""
libgcc-ng,9.1.0,GPL,Not approved,"","",""
libgfortran-ng,7.3.0,GPL,Not approved,"","",""
liblapack,3.8.0,BSD 3-clause,Approved,"","",""
liblapacke,3.8.0,BSD 3-clause,Approved,"","",""
libopenblas,0.3.6,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,"",""
libprotobuf,3.8.0,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
libsodium,1.0.18,ISC,Approved,http://en.wikipedia.org/wiki/ISC_license,"",""
libstdcxx-ng,9.1.0,GPL3 with runtime exception,Not approved,"","",""
libuv,1.38.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
livy,0.7.2,MIT,Approved,http://opensource.org/licenses/mit-license,A Python client for Apache Livy,https://github.com/acroz/pylivy
lz4-c,1.8.3,Simplified BSD,Approved,http://opensource.org/licenses/bsd-license,"",""
mako,1.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,A super-fast templating language that borrows the  best ideas from the existing templating languages.,https://www.makotemplates.org/
markupsafe,1.1.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
marshmallow,3.7.1,MIT,Approved,http://opensource.org/licenses/mit-license,A lightweight library for converting complex datatypes to and from native Python datatypes.,https://github.com/marshmallow-code/marshmallow
marshmallow-enum,1.5.1,MIT,Approved,http://opensource.org/licenses/mit-license,Enum field for Marshmallow,""
matplotlib,3.3.1,Python Software Foundation License,Not approved,http://hg.python.org/cpython/raw-file/89ce323357db/LICENSE,Python plotting package,https://matplotlib.org
mistune,0.8.4,BSD 3-Clause,Approved,"","",""
more-itertools,8.4.0,MIT,Approved,http://opensource.org/licenses/mit-license,"More routines for operating on iterables, beyond itertools",https://github.com/more-itertools/more-itertools
multidict,4.7.6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,multidict implementation,https://github.com/aio-libs/multidict
multiprocess,0.70.10,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
mypy-extensions,0.4.3,MIT,Approved,http://opensource.org/licenses/mit-license,Experimental type system extensions for programs checked with the mypy typechecker.,https://github.com/python/mypy_extensions
nbconvert,5.6.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
nbformat,5.0.7,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
ncurses,6.2,Free software (MIT-like),Not approved,"","",""
networkx,2.4,BSD,Approved,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Python package for creating and manipulating graphs and networks,http://networkx.github.io/
nodejs,14.8.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
notebook,6.1.1,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",""
numpy,1.19.1,BSD 3-Clause,Approved,"","",""
numpy-base,1.19.1,BSD 3-Clause,Approved,"","",""
